fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_train_used,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,alpha,l1_ratio,best_model_convergence_warning_count,fold_all_missing_feature_count,fold_all_missing_features,elapsed_seconds
1,2024-09-03 22:00:00+00:00,2025-03-02 23:45:00+00:00,2025-03-04 00:00:00+00:00,2025-04-03 23:45:00+00:00,180,2,1.005586592178771,30,2,1.0344827586206897,16894,16894,2788,21.802529528666724,15.298116969402843,11.852539159819736,10.222127599148328,0.7016670680018273,True,1.0,1.0,0,0,,82.15303536003921
2,2024-09-03 22:00:00+00:00,2025-04-02 23:45:00+00:00,2025-04-04 00:00:00+00:00,2025-05-03 23:45:00+00:00,210,2,1.0095693779904307,30,1,1.0,19682,19682,2779,21.108212721864618,15.946717249126237,11.657131032533663,10.78160158393247,0.7554745377664341,True,1.0,1.0,0,0,,92.46872041805182
3,2024-09-03 22:00:00+00:00,2025-05-02 21:45:00+00:00,2025-05-04 00:00:00+00:00,2025-06-02 23:45:00+00:00,240,2,1.00836820083682,30,1,1.0,22549,22549,2880,19.883649294557273,19.044003094220646,11.385050919731901,11.196548577268253,0.9577720272622963,True,0.3,1.0,0,0,,101.87711859500268
4,2024-09-03 22:00:00+00:00,2025-06-01 23:45:00+00:00,2025-06-03 00:00:00+00:00,2025-07-02 23:45:00+00:00,270,2,1.0074349442379182,30,1,1.0,25341,25341,2880,19.466320331313096,20.298062515370127,11.317190953323106,11.757743386800113,1.042727242226622,True,0.1,1.0,0,0,,98.97392052900977
5,2024-09-03 22:00:00+00:00,2025-07-01 23:45:00+00:00,2025-07-03 00:00:00+00:00,2025-08-01 23:45:00+00:00,300,2,1.0066889632107023,30,1,1.0,28221,28221,2880,20.922513298579883,21.238254228478127,11.53433983586081,11.21177707848861,1.0150909656690086,True,3.0,1.0,0,0,,108.72127708996413
6,2024-09-03 22:00:00+00:00,2025-07-31 23:45:00+00:00,2025-08-02 00:00:00+00:00,2025-08-31 23:45:00+00:00,330,2,1.006079027355623,30,1,1.0,31101,30000,2880,20.57936053971045,11.134604727072508,11.458731332509037,7.6824945607603325,0.5410568858826734,True,1.0,1.0,0,0,,109.4836949610035
7,2024-09-03 22:00:00+00:00,2025-08-30 23:45:00+00:00,2025-09-01 00:00:00+00:00,2025-11-18 23:45:00+00:00,360,2,1.0055710306406684,30,50,2.689655172413793,33981,30000,2684,19.782893591759418,15.520841130407897,11.101156675916402,10.593981077946248,0.7845586925096295,True,1.0,1.0,0,0,,111.57460983697092
8,2024-09-03 22:00:00+00:00,2025-09-29 21:45:00+00:00,2025-11-19 00:00:00+00:00,2026-05-19 23:45:00+00:00,390,2,1.0051413881748072,30,39,6.241379310344827,36757,30000,1732,19.481957185201278,22.96370026525606,11.059283678114317,12.634314213241884,1.178716288458921,True,1.0,0.5,0,0,,110.5990168779972
