feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_abs_coefficient,median_abs_coefficient,max_abs_coefficient,fold_all_missing_frequency,coefficient_sign_stability,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected,selection_method
ida2_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,1.0,1.0,8.0,8.0,5.13263912371136,5.009379735690916,5.9750826521853,0.0,1.0,True,True,kept,36757,0.9318544809228039,11524,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,first_ranked_feature,,0.0,0.6767522178882316,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,1.0,1.0,8.0,8.0,4.919408434457252,4.901825842604708,5.828479309202615,0.0,1.0,True,True,kept,37717,0.9561921663075168,11559,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.9119559596904542,0.6623970012026612,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_lag_1d_same_local_qh,1.0,1.0,8.0,8.0,2.7218701103632457,2.7726067850638265,3.2600862151037244,0.0,1.0,True,True,kept,37418,0.9486119913804031,18133,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,0.8109001886429538,0.569441815625055,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_lag_7d_same_local_qh,1.0,1.0,8.0,8.0,1.4304438854081745,1.6043605347941394,1.9825334685804965,0.0,1.0,True,True,kept,35498,0.8999366206109773,17648,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,0.7440079336023561,0.5489220600622465,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,elasticnet_coefficients
da_price_eur_mwh,0.875,0.875,7.0,7.0,2.088301451980957,1.4404921882375097,5.819849569596342,0.0,1.0,True,True,kept,39445,1.0,8079,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_1d_same_local_qh,0.6873782378864338,0.06024692000838093,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
wind_offshore_id_forecast_error_mw_lag_1d_same_local_qh,0.875,0.875,7.0,7.0,0.5840873377993248,0.4799399649983962,1.2761116905254157,0.0,1.0,True,True,kept,36548,0.926555964000507,35685,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_rolling_mean_14d_same_local_qh,0.28960373369769493,0.03562286122638269,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,elasticnet_coefficients
residual_load_revision_id_minus_da_approx_mw_rolling_median_7d_same_local_qh,0.875,0.875,7.0,7.0,0.2928023224782846,0.20738475910710363,0.8550819203201557,0.0,1.0,True,True,kept,39445,1.0,17294,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_median_14d_same_local_qh,0.6750869639010704,0.01836484928233726,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,elasticnet_coefficients
ida2_minus_da_spread_eur_mwh_lag_14d_same_local_qh,0.875,0.875,7.0,7.0,0.8270855775884411,0.9600089418486184,1.4823803552324541,0.0,1.0,True,True,kept,34922,0.8853340093801496,17497,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.7227625491057568,0.5192594778614716,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,False,elasticnet_coefficients
da_price_eur_mwh_rolling_std_14d_same_local_qh,0.625,0.625,5.0,5.0,0.2896005362177168,0.2776868642826639,0.6836183993896283,0.0,1.0,False,True,kept,39445,1.0,38916,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_rolling_std_14d_same_local_qh,0.8456628183763167,0.024191289389835415,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False,elasticnet_coefficients
solar_da_forecast_error_mw_lag_1d_same_local_qh,0.625,0.625,5.0,5.0,0.17254675065571506,0.13350850591535982,0.5163458376146991,0.0,1.0,False,True,kept,21229,0.5381924198250729,20915,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_lag_1d_same_local_qh,0.2231323548902503,0.06208545020258074,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,False,elasticnet_coefficients
