feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
renewable_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,0.0,0.0,0.0,0.0,0.00044795840183043376,0.0,0.006526398750564775,72.44444444444444,22.0,False,True,kept,82360,0.997625853965793,82360,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_std_7d_same_local_qh,0.5803450655978979,0.04688876312432027,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,False
month_sin,0.0,0.0,0.0,0.0,0.00043307128877224943,0.0,0.004095400623032371,67.38888888888889,28.0,False,True,kept,82556,1.0,11,calendar,calendar,month_sin,True,first_ranked_feature,,0.0,0.2894007990042656,calendar,calendar,month_sin,calendar,calendar,month_sin,False
load_da_forecast_error_mw_rolling_mean_7d_same_local_qh,0.0,0.0,0.0,0.0,0.00042075036832983637,0.0,0.007155891552832299,122.44444444444444,21.0,False,True,kept,79968,0.9686515819564901,79901,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_median_3d_same_local_qh,0.883476276312612,0.11467997584744277,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,False
load_forecast_da_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.0004168598675705843,0.0,0.003017805988962406,49.888888888888886,34.0,False,True,kept,82447,0.9986796840932216,81668,da_forecast,forecast_level,load_forecast_da_mw,True,kept,load_forecast_da_mw_lag_7d_same_local_qh,0.7620390481226176,0.16158916282110064,da_forecast,forecast_level,load_forecast_da_mw,da_forecast,forecast_level,load_forecast_da_mw,False
da_price_eur_mwh_rolling_std_28d_same_local_qh,0.0,0.0,0.0,0.0,0.0004119803367187511,0.0,0.0074156460609375195,172.83333333333334,17.0,False,True,kept,81596,0.9883715296283735,55777,da_price,market_history,da_price_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_median_28d_same_local_qh,0.45393344651671547,0.3267342817135871,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False
da_price_eur_mwh_regime_vol_28d,0.0,0.0,0.0,0.0,0.0003660465022847983,0.0,0.00658883704112637,182.5,19.0,False,True,kept,81596,0.9883715296283735,55777,regime_volatility,regime,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.3267342817135871,regime_volatility,regime,da_price_eur_mwh,regime_volatility,regime,da_price_eur_mwh,False
wind_total_forecast_revision_id_minus_da_mw_rolling_mean_7d_same_local_qh,0.0,0.0,0.0,0.0,0.00034714836817947587,0.0,0.003410252618603546,53.611111111111114,33.0,False,True,kept,82264,0.9964630069286302,82183,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_mean_7d_same_local_qh,0.8908132838314307,0.067511216725652,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,False
da_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.0,0.0,0.0,0.0,0.00032411309491707816,0.0,0.005834035708507407,184.5,21.0,False,True,kept,81596,0.9883715296283735,55819,regime_mean_shift,regime,da_price_eur_mwh,True,kept,da_price_eur_mwh_regime_vol_28d,0.006185653990874296,0.23012128600065201,regime_mean_shift,regime,da_price_eur_mwh,regime_mean_shift,regime,da_price_eur_mwh,False
renewable_total_forecast_revision_id_minus_da_mw_rolling_std_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0003240350966496744,0.0,0.005832631739694139,48.111111111111114,22.0,False,True,kept,82072,0.994137312854305,82072,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_std_28d_same_local_qh,0.7704468739606369,0.08474397064873636,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,False
wind_total_forecast_id_mw_lag_7d_same_local_qh,0.0,0.0,0.0,0.0,0.0003098683605928774,0.0,0.005577630490671794,59.333333333333336,24.0,False,True,kept,80908,0.9800377925287078,80268,id_forecast,forecast_level,wind_total_forecast_id_mw,True,kept,wind_offshore_forecast_id_mw_lag_7d_same_local_qh,0.8272675195570457,0.05597306688873611,id_forecast,forecast_level,wind_total_forecast_id_mw,id_forecast,forecast_level,wind_total_forecast_id_mw,False
residual_load_revision_id_minus_da_approx_mw_rolling_mean_28d_same_local_qh,0.0,0.0,0.0,0.0,0.00030412599512148216,0.0,0.005474267912186679,64.33333333333333,23.0,False,True,kept,81592,0.9883230776684917,81549,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,first_ranked_feature,,0.0,0.1579007891699236,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,False
residual_load_revision_id_minus_da_approx_mw_rolling_median_3d_same_local_qh,0.0,0.0,0.0,0.0,0.00029863228645185096,0.0,0.0053753811561333175,100.88888888888889,26.0,False,True,kept,82360,0.997625853965793,50360,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_median_7d_same_local_qh,0.5794209012614717,0.03952807215745656,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,False
wind_onshore_id_forecast_error_mw_lag_7d_same_local_qh,0.0,0.0,0.0,0.0,0.00029685900146627796,0.0,0.0053434620263930034,157.66666666666666,26.0,False,True,kept,73991,0.8962522409031445,72685,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_lag_7d_same_local_qh,0.8533644804646695,0.06981153369486601,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,False
residual_load_revision_id_minus_da_approx_mw_rolling_mean_14d_same_local_qh,0.0,0.0,0.0,0.0,0.00025370057444777774,0.0,0.0023727322542597545,63.666666666666664,36.0,False,True,kept,82072,0.994137312854305,81957,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_mean_28d_same_local_qh,0.7335595451028607,0.1401597819772504,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,False
ida1_minus_da_spread_eur_mwh_rolling_std_14d_same_local_qh,0.0,0.0,0.0,0.0,0.00022419977597553514,0.0,0.004035595967559633,169.94444444444446,33.0,False,True,kept,81596,0.9883715296283735,81590,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_std_28d_same_local_qh,0.856422453163764,0.1895369164317657,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,False
wind_total_forecast_revision_id_minus_da_mw_regime_mean_shift_7d_vs_28d_z,0.0,0.0,0.0,0.0,0.000217173274314826,0.0,0.0027876223491006486,187.77777777777777,32.0,False,True,kept,81592,0.9883230776684917,81592,regime_mean_shift,regime,wind_total_forecast_revision_id_minus_da_mw,True,kept,ida1_minus_da_spread_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.1391100544910009,0.007130393792147399,regime_mean_shift,regime,wind_total_forecast_revision_id_minus_da_mw,regime_mean_shift,regime,wind_total_forecast_revision_id_minus_da_mw,False
wind_onshore_forecast_da_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.00020084972090783352,0.0,0.0036152949763410035,62.888888888888886,32.0,False,True,kept,82343,0.9974199331362954,81202,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,kept,wind_offshore_forecast_id_mw_lag_2d_same_local_qh,0.726984900586095,0.016608932976275824,da_forecast,forecast_level,wind_onshore_forecast_da_mw,da_forecast,forecast_level,wind_onshore_forecast_da_mw,False
residual_load_revision_id_minus_da_approx_mw_regime_mean_shift_7d_vs_28d_z,0.0,0.0,0.0,0.0,0.0001944695488529627,0.0,0.0035004518793533288,197.88888888888889,32.0,False,True,kept,81592,0.9883230776684917,81592,regime_mean_shift,regime,residual_load_revision_id_minus_da_approx_mw,True,kept,wind_total_forecast_revision_id_minus_da_mw_regime_mean_shift_7d_vs_28d_z,0.9020940661102721,0.0066539320798279355,regime_mean_shift,regime,residual_load_revision_id_minus_da_approx_mw,regime_mean_shift,regime,residual_load_revision_id_minus_da_approx_mw,False
total_generation_forecast_da_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.00016421809499706606,0.0,0.002955925709947189,50.5,35.0,False,True,kept,47723,0.5780682203595136,47538,da_forecast,forecast_level,total_generation_forecast_da_mw,True,kept,renewable_total_forecast_da_mw_lag_2d_same_local_qh,0.7373129631251848,0.1727295430039484,da_forecast,forecast_level,total_generation_forecast_da_mw,da_forecast,forecast_level,total_generation_forecast_da_mw,False
quarter_cos,0.0,0.0,0.0,0.0,0.00014948565980846715,0.0,0.0015368882218876495,73.55555555555556,43.0,False,True,kept,82556,1.0,89,calendar,calendar,quarter_cos,True,kept,month_sin,0.0016930032759618862,0.11186258942237683,calendar,calendar,quarter_cos,calendar,calendar,quarter_cos,False
solar_forecast_revision_id_minus_da_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.0001371358265103361,0.0,0.0013863110011371903,94.88888888888889,36.0,False,True,kept,46753,0.5663186200881826,42719,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_mean_3d_same_local_qh,0.3254145180395085,0.018933822550784067,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,solar_forecast_revision_id_minus_da_mw,False
wind_offshore_id_forecast_error_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.00012909438910845594,0.0,0.002323699003952207,110.16666666666667,36.0,False,True,kept,75800,0.9181646397596783,72654,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_rolling_mean_3d_same_local_qh,0.565895922493945,0.0808163244135737,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,False
load_forecast_da_mw_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.00012258068006786209,0.0,0.0022064522412215174,58.55555555555556,37.0,False,True,kept,82351,0.9975168370560589,81578,da_forecast,forecast_level,load_forecast_da_mw,True,kept,load_forecast_da_mw_lag_1d_same_local_qh,0.7877670556281746,0.06876708782836471,da_forecast,forecast_level,load_forecast_da_mw,da_forecast,forecast_level,load_forecast_da_mw,False
wind_offshore_da_forecast_error_mw_rolling_std_14d_same_local_qh,0.0,0.0,0.0,0.0,0.00010857915244039003,0.0,0.0019544247439270204,168.5,41.0,False,True,kept,80151,0.9708682591210814,80147,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,kept,wind_offshore_da_forecast_error_mw_rolling_std_28d_same_local_qh,0.7233028477923376,0.013678818392247433,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,False
