feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
ida1_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,1.0,1.0,18.0,18.0,0.09503933325484337,0.09549276906566623,0.12095037334826299,1.0,1.0,True,True,kept,81596,0.9883715296283735,80871,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.9197541533283058,0.5992663982848759,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True
ida1_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,1.0,1.0,18.0,18.0,0.06835881156308682,0.06862996041290456,0.08726511580727693,2.111111111111111,2.0,True,True,kept,81500,0.9872086825912109,27759,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,first_ranked_feature,,0.0,0.6180447145601338,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True
ida1_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,1.0,1.0,18.0,18.0,0.06313003979405966,0.0654693159967191,0.07943218234688493,2.888888888888889,2.0,True,True,kept,81408,0.9860942875139299,30963,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,0.8842295531640916,0.5979534106044282,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True
ida1_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,1.0,1.0,18.0,18.0,0.03544303350741742,0.036562296010494835,0.043851727503036474,4.333333333333333,4.0,True,True,kept,76896,0.9314404767672853,71916,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,0.8427244293572519,0.5485248114048386,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True
da_price_eur_mwh,1.0,1.0,18.0,18.0,0.013813985474718807,0.013024719179201255,0.017638709905371076,15.944444444444445,11.0,True,True,kept,82556,1.0,12631,da_price,market_history,da_price_eur_mwh,True,kept,ida1_price_eur_mwh_lag_1d_same_local_qh,0.7477750833410122,0.07125076012790317,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
wind_onshore_da_forecast_error_mw_rolling_std_3d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.02140819645788212,0.024195338401211186,0.030339085333384988,25.11111111111111,6.0,True,True,kept,75636,0.9161781094045254,75634,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_std_7d_same_local_qh,0.6629608907890043,0.011389791987796207,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True
wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.01858433936592107,0.02031056942423482,0.02553113801600998,22.0,8.0,True,True,kept,74658,0.9043316052134309,73678,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.6507245369487609,0.012980764962675041,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True
load_forecast_da_mw_lag_2d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.015806821527923967,0.017287132178932192,0.020398447027960013,15.333333333333334,10.0,True,True,kept,82351,0.9975168370560589,81578,da_forecast,forecast_level,load_forecast_da_mw,True,kept,total_generation_forecast_da_mw_lag_2d_same_local_qh,0.7432960153968942,0.0013392860489342938,da_forecast,forecast_level,load_forecast_da_mw,da_forecast,forecast_level,load_forecast_da_mw,True
load_da_forecast_error_mw_rolling_std_14d_same_local_qh,0.7777777777777778,0.7777777777777778,14.0,14.0,0.020700867718487382,0.025543710011154106,0.031006992881183047,37.5,4.0,True,True,kept,80156,0.9709288240709336,80156,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_std_28d_same_local_qh,0.7772304171813239,0.012364898820055752,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True
wind_offshore_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.7777777777777778,0.7777777777777778,14.0,14.0,0.012998204224813152,0.013016964316093352,0.018026256833078767,18.666666666666668,12.0,True,True,kept,82415,0.9982920684141674,73593,forecast_revision,forecast_revision,wind_offshore_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,0.02169634107380892,0.017452433360805306,forecast_revision,forecast_revision,wind_offshore_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_offshore_forecast_revision_id_minus_da_mw,True
