timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida1_price_eur_mwh,da_price_eur_mwh,ida1_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,ida1_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,wind_onshore_da_forecast_error_mw_rolling_std_3d_same_local_qh,wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,load_forecast_da_mw_lag_2d_same_local_qh,load_da_forecast_error_mw_rolling_std_14d_same_local_qh,wind_offshore_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,renewable_total_forecast_revision_id_minus_da_mw_regime_mean_shift_7d_vs_28d_z,solar_forecast_revision_id_minus_da_mw_lag_7d_same_local_qh,wind_total_forecast_revision_id_minus_da_mw_lag_2d_same_local_qh,wind_offshore_forecast_id_mw_lag_1d_same_local_qh,wind_onshore_id_forecast_error_mw_lag_2d_same_local_qh,weekday_sin,residual_load_forecast_id_approx_mw_lag_14d_same_local_qh,da_price_eur_mwh_regime_vol_7d_over_28d,da_price_eur_mwh_rolling_std_7d_same_local_qh,wind_total_forecast_revision_id_minus_da_mw_rolling_mean_28d_same_local_qh,ida1_minus_da_spread_eur_mwh
2026-05-13 12:00:00+00:00,2026-05-13 14:00:00+02:00,2026-05-13,14,0,0,2,5,67.63,66.8,15.08444444444445,7.31,8.579999999999998,10.44000000000003,3748.506301342802,,60739.776453,2051.462344968128,43.63999999999987,-0.35483762771951344,-1564.4032700000025,1061.9212100000004,2732.62,,0.9749279121818236,-1157.9441769999976,0.5099250117306099,48.26143160902312,285.4087839285713,0.8299999999999983
2026-05-13 12:15:00+00:00,2026-05-13 14:15:00+02:00,2026-05-13,14,15,1,2,5,68.83,66.8,17.040000000000006,6.069999999999993,6.069999999999993,10.700000000000001,3651.051522469992,,60197.021287,2064.8099538660604,84.19000000000005,-0.35356736911141035,-1630.7450499999977,799.6522699999987,2754.19,,0.9749279121818236,-1160.6932050000032,0.5842554431892291,48.453460095623,259.42580417857147,2.030000000000001
2026-05-13 12:30:00+00:00,2026-05-13 14:30:00+02:00,2026-05-13,14,30,2,2,5,74.78,66.8,19.838888888888885,11.84,6.679999999999993,13.080000000000018,3466.0471165152326,,60123.934466,2225.7748765384845,126.15999999999985,-0.37060802830133893,-1713.0175999999992,695.7282999999989,2780.2,,0.9749279121818236,-731.5324570000012,0.40003492458507656,48.1271020072795,273.6953805357142,7.980000000000004
2026-05-13 12:45:00+00:00,2026-05-13 14:45:00+02:00,2026-05-13,14,45,3,2,5,70.45,66.8,22.64888888888889,13.41,11.25,16.700000000000003,3141.393512409238,,59847.923429,2203.4859614331863,165.78999999999996,-0.40620495562912384,-1728.626400000001,607.8563999999969,2803.16,,0.9749279121818236,-430.4667899999986,0.4578295733962594,48.669494797147955,285.82723350000003,3.6500000000000057
2026-05-13 13:00:00+00:00,2026-05-13 15:00:00+02:00,2026-05-13,15,0,0,2,5,70.96,79.32,2.0844444444444457,0.37999999999999545,0.46999999999999886,0.5199999999999972,3319.1992602045343,,59701.629711,2409.0786780918015,186.42999999999984,-0.4386170097382089,-1738.146679999998,522.9031700000014,2823.54,,0.9749279121818236,1069.4166170000026,0.5835279281978931,46.79361342259112,292.5718530357141,-8.36
2026-05-13 13:15:00+00:00,2026-05-13 15:15:00+02:00,2026-05-13,15,15,1,2,5,79.19,79.32,7.687777777777779,5.16,5.28,6.074999999999999,3149.845892104949,,59738.288784,2440.0240703946115,201.8800000000001,-0.4793643550301058,-1763.35815,431.98881999999867,2875.62,,0.9749279121818236,813.019389000001,0.5913129620641883,47.21746887187685,292.79707157142855,-0.12999999999999545
2026-05-13 13:30:00+00:00,2026-05-13 15:30:00+02:00,2026-05-13,15,30,2,2,5,83.41,79.32,11.97888888888889,7.959999999999999,5.87,9.909999999999998,3373.991281764543,,59307.391176,2347.4836545292274,215.22000000000025,-0.5309029671554104,-1769.5860599999978,350.3748599999999,2922.8,,0.9749279121818236,2267.836909000005,0.7027882870943896,47.299550687486345,292.7219411428572,4.090000000000003
2026-05-13 13:45:00+00:00,2026-05-13 15:45:00+02:00,2026-05-13,15,45,3,2,5,88.28,79.32,15.886666666666665,17.870000000000005,6.700000000000003,13.684999999999997,2899.7934039880893,,59054.271578,2410.8354099900553,221.48999999999978,-0.5624647227141907,-1743.1974499999997,266.8845900000015,2964.89,,0.9749279121818236,2639.6831289999973,0.7209013602986659,48.31620910113686,294.1306082142856,8.960000000000008
2026-05-13 14:00:00+00:00,2026-05-13 16:00:00+02:00,2026-05-13,16,0,0,2,5,78.32,91.01,-5.13777777777778,-8.59,-2.0600000000000023,1.4200000000000061,2708.9834533698872,,59370.571865,2159.869400030038,233.52999999999975,-0.6022978172117239,-1695.2405099999996,156.26281999999992,3031.24,,0.9749279121818236,5070.410265999999,0.7246269072838667,41.777143842286684,299.2579032142856,-12.690000000000012
2026-05-13 14:15:00+00:00,2026-05-13 16:15:00+02:00,2026-05-13,16,15,1,2,5,90.0,91.01,0.08777777777777847,-0.9699999999999989,-2.1499999999999915,9.070000000000016,2280.3669373587913,,59267.321861,2126.1500261660617,218.6800000000003,-0.6671640760677071,-1599.8733199999988,-244.6393100000023,3097.9,,0.9749279121818236,6480.131460999997,0.8045209169661294,41.47924076313009,287.016847857143,-1.0100000000000051
2026-05-13 14:30:00+00:00,2026-05-13 16:30:00+02:00,2026-05-13,16,30,2,2,5,97.51,91.01,9.589999999999996,5.32,3.990000000000009,16.70500000000001,1983.752782919409,,59470.94424,2038.9692314886763,204.8699999999999,-0.7232349277020995,-1476.86686,-644.48056,3153.63,,0.9749279121818236,8258.942366000003,0.8733972761781245,43.83117226249934,267.2473864285715,6.5
2026-05-13 14:45:00+00:00,2026-05-13 16:45:00+02:00,2026-05-13,16,45,3,2,5,108.71,91.01,20.686666666666667,12.540000000000006,12.540000000000006,20.460000000000054,1061.565551302451,,59280.745676,2242.981395681566,193.63999999999987,-0.7542709288472821,-1333.7765799999997,-1059.5270500000006,3204.56,,0.9749279121818236,9970.269213000007,0.9198609746906533,46.27586859569253,232.92509642857166,17.69999999999999
2026-05-13 15:00:00+00:00,2026-05-13 17:00:00+02:00,2026-05-13,17,0,0,2,5,97.89,111.65,-24.96111111111111,-26.98,-15.709999999999994,-32.46500000000001,102.66419716437213,,59668.659415,2438.1753945809887,191.79999999999973,-0.7917951400890749,-1217.9251600000007,-1493.1839199999995,3272.83,,0.9749279121818236,11153.713055999993,0.41281988671051295,19.163230168118897,206.52895464285706,-13.760000000000005
2026-05-13 15:15:00+00:00,2026-05-13 17:15:00+02:00,2026-05-13,17,15,1,2,5,110.99,111.65,-7.155555555555561,-10.39,-6.309999999999995,-2.4349999999999845,944.862604596827,,59925.412953,2190.0531979200296,231.44999999999982,-0.8196054560531054,-1104.4371699999992,-1758.704429999998,3382.85,,0.9749279121818236,14289.158341000002,0.4961344375472212,21.951421257819675,188.55104928571433,-0.6600000000000108
2026-05-13 15:30:00+00:00,2026-05-13 17:30:00+02:00,2026-05-13,17,30,2,2,5,123.06,111.65,9.773333333333325,10.719999999999985,11.040000000000006,18.89500000000003,1281.2912265947828,,59922.949422,2354.1320336626213,257.34000000000015,-0.8235870510892626,-976.2509200000004,-2065.176790000005,3484.92,,0.9749279121818236,16302.084647000003,0.5309820095812223,23.144026381401606,154.1155442857145,11.409999999999997
