fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_train_used,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,alpha,l1_ratio,best_model_convergence_warning_count,fold_all_missing_feature_count,fold_all_missing_features,elapsed_seconds
1,2025-11-22 11:00:00+00:00,2026-01-02 22:45:00+00:00,2026-01-05 11:00:00+00:00,2026-01-21 22:45:00+00:00,30,3,1.4137931034482758,10,3,1.7777777777777777,1440,1440,480,18.13345175567481,60.4252599949282,11.079366458240676,33.52173199237296,3.33225360560591,False,1.0,0.7,0,0,,3.2864060690044425
2,2025-11-22 11:00:00+00:00,2026-01-20 22:45:00+00:00,2026-01-22 11:00:00+00:00,2026-02-05 22:45:00+00:00,40,3,1.5128205128205128,10,3,1.5555555555555556,1920,1920,480,39.69956339053672,11.809958252206894,20.369470525175032,9.028169682112745,0.29748332836884706,True,10.0,0.9,0,0,,8.249997027043719
3,2025-11-22 11:00:00+00:00,2026-02-04 22:45:00+00:00,2026-02-06 11:00:00+00:00,2026-02-24 22:45:00+00:00,50,3,1.510204081632653,10,3,2.0,2400,2400,480,41.415482133684684,12.163114364111046,21.123378888888887,9.380943333333333,0.29368520508465484,True,30.0,0.7,0,0,,10.025163209007587
4,2025-11-22 11:00:00+00:00,2026-02-22 22:45:00+00:00,2026-02-25 11:00:00+00:00,2026-03-14 22:45:00+00:00,60,3,1.5593220338983051,10,5,1.8888888888888888,2880,2880,480,38.09421358304557,18.78486552959976,19.01474064187886,11.957909172453704,0.49311598173955373,True,30.0,0.7,0,0,,11.634914416004904
5,2025-11-22 11:00:00+00:00,2026-03-12 22:45:00+00:00,2026-03-17 11:00:00+00:00,2026-03-31 21:45:00+00:00,70,5,1.5942028985507246,10,3,1.5555555555555556,3360,3360,480,28.148543516166004,17.616938290221537,15.263819188638289,14.050755250422386,0.6258561221863556,True,3.0,0.5,0,0,,14.883007856959011
6,2025-11-22 11:00:00+00:00,2026-03-30 21:45:00+00:00,2026-04-03 10:00:00+00:00,2026-04-20 21:45:00+00:00,80,5,1.620253164556962,10,3,1.8888888888888888,3840,3840,480,34.21656845785118,22.65958685736439,17.36602799479166,17.872425086805553,0.6622401917736733,True,30.0,0.5,0,0,,29.63085153902648
7,2025-11-22 11:00:00+00:00,2026-04-19 21:45:00+00:00,2026-04-25 10:00:00+00:00,2026-05-08 21:45:00+00:00,90,5,1.6629213483146068,10,3,1.4444444444444444,4320,4320,480,27.567794842466494,65.8924534582493,15.248916814545643,28.0575901585533,2.3901967435112375,False,3.0,0.5,0,0,,24.593862620007712
8,2025-11-22 11:00:00+00:00,2026-05-07 21:45:00+00:00,2026-05-09 10:00:00+00:00,2026-05-25 21:45:00+00:00,100,5,1.6767676767676767,10,5,1.7777777777777777,4800,4800,480,36.961743916995594,17.44789877790383,18.24169104929321,10.894459884982219,0.4720529100868807,True,10.0,1.0,0,0,,26.396611984004267
9,2025-11-22 11:00:00+00:00,2026-05-24 21:45:00+00:00,2026-05-27 10:00:00+00:00,2026-06-07 21:45:00+00:00,110,5,1.6788990825688073,10,3,1.2222222222222223,5280,5280,480,24.72096027420548,22.45439790778031,14.94393699747255,15.007854594767805,0.9083141455152063,True,0.3,0.5,0,0,,23.3056385339587
