feature,selected,selection_reason
ida3_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,True,seasonal_naive_fixed_rule
ida3_minus_da_spread_eur_mwh_rolling_median_14d_same_local_qh,True,seasonal_naive_fixed_rule
ida3_minus_da_spread_eur_mwh_rolling_std_14d_same_local_qh,False,not_baseline_feature
ida3_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,False,not_baseline_feature
ida3_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,False,not_baseline_feature
ida3_minus_da_spread_eur_mwh_rolling_std_28d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_mean_3d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_median_3d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_std_3d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_mean_7d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_median_7d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_std_7d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_mean_14d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_median_14d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_std_14d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_mean_28d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_median_28d_same_local_qh,False,not_baseline_feature
ida3_price_eur_mwh_rolling_std_28d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_mean_3d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_median_3d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_std_3d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_mean_7d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_median_7d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_std_7d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_mean_14d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_median_14d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_std_14d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_mean_28d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_median_28d_same_local_qh,False,not_baseline_feature
da_price_eur_mwh_rolling_std_28d_same_local_qh,False,not_baseline_feature
