feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
renewable_total_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.0025938924882721185,0.0,0.007949848064890212,102.33333333333333,39.0,False,True,kept,5808,1.0,5808,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,True,kept,wind_onshore_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.8567640359839469,0.05622653332124062,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,False
renewable_total_forecast_revision_id_minus_da_mw_rolling_median_3d_same_local_qh,0.0,0.0,0.0,0.0,0.002494594585225533,0.0,0.007879322728616358,102.0,36.0,False,True,kept,5808,1.0,4289,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_mean_3d_same_local_qh,0.8552229448689498,0.0884872816005952,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,renewable_total_forecast_revision_id_minus_da_mw,False
residual_load_forecast_id_approx_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.0024933259121144255,0.002664768217694915,0.007147527533331865,86.55555555555556,59.0,False,True,kept,5808,1.0,5808,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,True,kept,residual_load_forecast_da_mw,0.6409567997007293,0.1760286020915595,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,False
total_generation_forecast_da_mw_lag_1d_same_local_qh,0.0,0.0,0.0,0.0,0.0024922793590882344,0.0,0.009738149736432385,86.11111111111111,45.0,False,True,kept,5808,1.0,5808,da_forecast,forecast_level,total_generation_forecast_da_mw,True,kept,renewable_total_forecast_id_mw_lag_1d_same_local_qh,0.7818461622208801,0.06184369652543668,da_forecast,forecast_level,total_generation_forecast_da_mw,da_forecast,forecast_level,total_generation_forecast_da_mw,False
solar_da_forecast_error_mw_rolling_mean_14d_same_local_qh,0.1111111111111111,0.0,1.0,0.0,0.0024914984115990283,0.0,0.011966177107737673,131.77777777777777,19.0,False,True,kept,2647,0.45575068870523416,2352,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,True,kept,solar_id_forecast_error_mw_rolling_mean_14d_same_local_qh,0.806372212175302,0.07896599254415217,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,solar_da_forecast_error_mw,False
renewable_total_forecast_id_mw_lag_14d_same_local_qh,0.0,0.0,0.0,0.0,0.0024668706756486754,0.002752506837070889,0.005697325044463448,98.44444444444444,65.0,False,True,kept,5472,0.9421487603305785,5472,id_forecast,forecast_level,renewable_total_forecast_id_mw,True,kept,solar_forecast_id_mw_lag_7d_same_local_qh,0.6529883388904111,0.1489644492518284,id_forecast,forecast_level,renewable_total_forecast_id_mw,id_forecast,forecast_level,renewable_total_forecast_id_mw,False
wind_offshore_id_forecast_error_mw_rolling_mean_14d_same_local_qh,0.0,0.0,0.0,0.0,0.002431506527762014,0.0,0.009270752129423845,129.0,36.0,False,True,kept,4704,0.8099173553719008,4176,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,True,kept,solar_id_forecast_error_mw_rolling_std_14d_same_local_qh,0.4663223772089975,0.07159574557280864,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_id_forecast_error_mw,False
wind_total_forecast_revision_id_minus_da_mw_rolling_std_28d_same_local_qh,0.0,0.0,0.0,0.0,0.0024209584308235665,0.0,0.01120940652589495,106.33333333333333,37.0,False,True,kept,5808,1.0,5808,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_mean_28d_same_local_qh,0.22833111861792477,0.07112070976644114,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,False
ida3_minus_da_spread_eur_mwh_lag_2d_same_local_qh,0.0,0.0,0.0,0.0,0.002309481643929789,0.0,0.010156436493428683,162.77777777777777,42.0,False,True,kept,3072,0.5289256198347108,2697,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,0.7796128914949444,0.11915387454073961,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,False
ida3_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.0,0.0,0.0,0.0,0.00221431667385258,0.0,0.008597869640209725,162.66666666666666,48.0,False,True,kept,5328,0.9173553719008265,2660,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_median_14d_same_local_qh,0.7252983469963509,0.14515536529471335,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,False
