fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,elapsed_seconds
1,2025-11-22 11:00:00+00:00,2026-01-02 22:45:00+00:00,2026-01-05 11:00:00+00:00,2026-01-21 22:45:00+00:00,30,3,1.4137931034482758,10,3,1.7777777777777777,1440,480,17.960242190757402,63.50849195765662,9.735304086126128,35.38401075680927,3.536059886226868,False,2.976191937981639
2,2025-11-22 11:00:00+00:00,2026-01-20 22:45:00+00:00,2026-01-22 11:00:00+00:00,2026-02-05 22:45:00+00:00,40,3,1.5128205128205128,10,3,1.5555555555555556,1920,480,22.336849238291173,13.227432412103264,12.777341587792149,10.569946610054311,0.5921798670435579,True,2.760343191039283
3,2025-11-22 11:00:00+00:00,2026-02-04 22:45:00+00:00,2026-02-06 11:00:00+00:00,2026-02-24 22:45:00+00:00,50,3,1.510204081632653,10,3,2.0,2400,480,21.13663123215212,13.521019326852626,12.003987082324146,10.511258293881081,0.6396960413580496,True,3.2320634920033626
4,2025-11-22 11:00:00+00:00,2026-02-22 22:45:00+00:00,2026-02-25 11:00:00+00:00,2026-03-14 22:45:00+00:00,60,3,1.5593220338983051,10,5,1.8888888888888888,2880,480,20.11590040305791,19.898867392962273,11.442899350203676,12.883894041304787,0.9892108727053229,True,2.997688264993485
5,2025-11-22 11:00:00+00:00,2026-03-12 22:45:00+00:00,2026-03-17 11:00:00+00:00,2026-03-31 21:45:00+00:00,70,5,1.5942028985507246,10,3,1.5555555555555556,3360,480,20.215430130468434,18.051925356047203,11.737170094098893,13.91925038841491,0.8929775542514713,True,2.886770732991863
6,2025-11-22 11:00:00+00:00,2026-03-30 21:45:00+00:00,2026-04-03 10:00:00+00:00,2026-04-20 21:45:00+00:00,80,5,1.620253164556962,10,3,1.8888888888888888,3840,480,19.82783014997266,23.42117590518024,11.668962362623073,18.224388281506485,1.1812273823221418,True,3.543371989042498
7,2025-11-22 11:00:00+00:00,2026-04-19 21:45:00+00:00,2026-04-25 10:00:00+00:00,2026-05-08 21:45:00+00:00,90,5,1.6629213483146068,10,3,1.4444444444444444,4320,480,19.817562507911077,66.67885208327336,12.088308444535084,30.02625096809802,3.364634377040843,False,3.4051519699860364
8,2025-11-22 11:00:00+00:00,2026-05-07 21:45:00+00:00,2026-05-09 10:00:00+00:00,2026-05-25 21:45:00+00:00,100,5,1.6767676767676767,10,5,1.7777777777777777,4800,480,25.411031782517945,18.44019921447864,13.99660166984794,11.339279110842385,0.7256769175018294,True,3.7476397849968635
9,2025-11-22 11:00:00+00:00,2026-05-24 21:45:00+00:00,2026-05-27 10:00:00+00:00,2026-06-07 21:45:00+00:00,110,5,1.6788990825688073,10,3,1.2222222222222223,5280,480,24.8555831723301,21.148156855255085,13.669153802559372,14.444945878309818,0.850841306302472,True,2.3224159690435044
