timestamp_utc,timestamp_local,date_local,hour_local,minute_local,quarter_hour_local,weekday_local,month_local,ida3_price_eur_mwh,da_price_eur_mwh,load_da_forecast_error_mw_rolling_mean_3d_same_local_qh,wind_onshore_forecast_da_mw,ida3_price_eur_mwh_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh_regime_vol_7d_over_28d,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,ida3_price_eur_mwh_regime_vol_7d_over_28d,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,ida3_price_eur_mwh_regime_abs_median_28d_over_vol,load_forecast_da_mw_lag_1d_same_local_qh,wind_offshore_forecast_id_mw_lag_14d_same_local_qh,ida3_minus_da_spread_eur_mwh
2026-05-08 12:00:00+00:00,2026-05-08 14:00:00+02:00,2026-05-08,14,0,0,4,5,72.1,50.92,,4226.33377,,0.38172774826136263,,8.152941187080893,0.34888457383485977,6.954999999999998,0.013745431570510367,59523.395903,2170.63,21.179999999999993
2026-05-08 12:15:00+00:00,2026-05-08 14:15:00+02:00,2026-05-08,14,15,1,4,5,76.4,50.92,,4364.83036,,0.2690455804843134,,1.4354267658086821,0.3477477698980714,2.065000000000005,0.011503730748789963,59390.871674,2174.85,25.480000000000004
2026-05-08 12:30:00+00:00,2026-05-08 14:30:00+02:00,2026-05-08,14,30,2,4,5,81.05,50.92,,4448.37222,,0.22790827015575613,,0.8343860018001309,0.35292309039733083,2.010000000000005,0.00035597187693155787,58813.107719,2180.98,30.129999999999995
2026-05-08 12:45:00+00:00,2026-05-08 14:45:00+02:00,2026-05-08,14,45,3,4,5,86.46,50.92,,4503.27344,,0.23310760920743415,,1.9021172413918113,0.3599589697804028,1.6850000000000023,0.00221896608787362,58805.264044,2185.97,35.53999999999999
2026-05-08 13:00:00+00:00,2026-05-08 15:00:00+02:00,2026-05-08,15,0,0,4,5,81.49,73.31,,4544.30187,,0.3906143331890655,,2.510229073212242,0.34646761939145776,-6.005000000000003,0.0045828821054916605,58669.078483,2191.74,8.179999999999993
2026-05-08 13:15:00+00:00,2026-05-08 15:15:00+02:00,2026-05-08,15,15,1,4,5,90.83,73.31,,4577.92967,,0.43520458013236435,,4.864894654563444,0.4245204718397133,0.39000000000000057,0.002091708866695739,58445.844106,2194.91,17.519999999999996
2026-05-08 13:30:00+00:00,2026-05-08 15:30:00+02:00,2026-05-08,15,30,2,4,5,98.36,73.31,,4610.31332,,0.12189550261817514,,1.3222896808188471,0.5377834908570145,1.5450000000000017,0.020760464147556217,57652.790988,2198.0,25.049999999999997
2026-05-08 13:45:00+00:00,2026-05-08 15:45:00+02:00,2026-05-08,15,45,3,4,5,99.8,73.31,,4634.04527,,0.214140627150863,,2.3193102422918668,0.6973865053220372,-1.2299999999999969,0.13833362544125538,57568.977547,2205.16,26.489999999999995
2026-05-08 14:00:00+00:00,2026-05-08 16:00:00+02:00,2026-05-08,16,0,0,4,5,89.31,94.94,,4660.37118,,0.845137882058191,,0.3040559159102102,0.7307131691840983,-8.434999999999995,0.2207811614994,57315.256244,2188.24,-5.6299999999999955
2026-05-08 14:15:00+00:00,2026-05-08 16:15:00+02:00,2026-05-08,16,15,1,4,5,96.7,94.94,,4681.95739,,0.15493719241180606,,3.853731957466686,0.9702776990573379,2.854999999999997,0.7580913280343501,57579.238723,2199.54,1.7600000000000051
