feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_abs_coefficient,median_abs_coefficient,max_abs_coefficient,fold_all_missing_frequency,coefficient_sign_stability,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected,selection_method
da_price_eur_mwh,1.0,1.0,18.0,18.0,64.5631309135863,64.60784922167454,67.8973697286422,0.0,1.0,True,True,kept,82556,1.0,12631,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.924131010271927,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_rolling_median_14d_same_local_qh,1.0,1.0,18.0,18.0,5.438407058380949,5.873625540507417,6.6491251405145,0.0,1.0,True,True,kept,81596,0.9883715296283735,34253,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,0.9132577720550639,0.16859094335031066,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,1.0,1.0,18.0,18.0,5.259682410994575,5.263496799166262,6.457516517548598,0.0,1.0,True,True,kept,81500,0.9872086825912109,81200,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_price_eur_mwh_rolling_mean_7d_same_local_qh,0.23890611606398654,0.20081341142963743,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_lag_1d_same_local_qh,0.9444444444444444,0.9444444444444444,17.0,17.0,2.4992490956706637,2.667044382337953,3.6762666159960338,0.0,1.0,True,True,kept,77268,0.9359465090362905,54513,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,0.78356526299323,0.14675157557596172,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
wind_onshore_da_forecast_error_mw_lag_1d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.6519187036059002,0.7395009176289185,1.0438537681096438,0.0,1.0,True,True,kept,75810,0.9182857696593827,74826,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_id_forecast_error_mw_lag_1d_same_local_qh,0.8528848293938732,0.024008496469147808,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,elasticnet_coefficients
wind_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.4596314197622971,0.45128282687817983,1.0533348353129892,0.0,1.0,True,True,kept,82360,0.997625853965793,82360,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,0.8371960504826169,0.017916840637092864,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,elasticnet_coefficients
wind_offshore_da_forecast_error_mw_rolling_mean_14d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.38105191040036457,0.27317842836984396,1.8528809061688831,0.0,1.0,True,True,kept,80151,0.9708682591210814,80034,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,kept,wind_offshore_da_forecast_error_mw_rolling_median_14d_same_local_qh,0.8011691286846755,0.20517953706476294,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,elasticnet_coefficients
residual_load_revision_id_minus_da_approx_mw_rolling_mean_14d_same_local_qh,0.8888888888888888,0.8888888888888888,16.0,16.0,0.32781792005221494,0.2566768339197,1.531893347449499,0.0,1.0,True,True,kept,82072,0.994137312854305,81957,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,kept,residual_load_revision_id_minus_da_approx_mw_rolling_mean_28d_same_local_qh,0.7335595451028607,0.1401597819772504,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,elasticnet_coefficients
month_sin,0.8333333333333334,0.8333333333333334,15.0,15.0,0.3806667935775937,0.23285630529879447,1.4323079821861222,0.0,1.0,True,True,kept,82556,1.0,11,calendar,calendar,month_sin,True,first_ranked_feature,,0.0,0.2894007990042656,calendar,calendar,month_sin,calendar,calendar,month_sin,True,elasticnet_coefficients
wind_total_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.8333333333333334,0.8333333333333334,15.0,15.0,0.2560259509815723,0.19150018339598787,0.86117762845063,0.0,1.0,True,True,kept,82444,0.9986433451233102,80320,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,wind_total_forecast_revision_id_minus_da_mw_rolling_mean_3d_same_local_qh,0.5447879915263831,0.0016676104977353988,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_lag_7d_same_local_qh,0.7777777777777778,0.7777777777777778,14.0,14.0,0.4071007676786984,0.4936698579402303,0.7780203350049902,0.0,1.0,True,True,kept,74772,0.9057124860700615,53600,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_mean_7d_same_local_qh,0.7045774668709605,0.13294822022359046,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
da_price_eur_mwh_regime_vol_28d,0.7777777777777778,0.7777777777777778,14.0,14.0,0.42037307273437513,0.4815145440428538,0.9739826338145009,0.0,1.0,True,True,kept,81596,0.9883715296283735,55777,regime_volatility,regime,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.3267342817135871,regime_volatility,regime,da_price_eur_mwh,regime_volatility,regime,da_price_eur_mwh,True,elasticnet_coefficients
solar_forecast_da_mw_lag_1d_same_local_qh,0.7777777777777778,0.7777777777777778,14.0,14.0,0.3716998491907687,0.4445458517433887,0.7211045410606552,0.0,1.0,True,True,kept,46871,0.567747952904695,43631,da_forecast,forecast_level,solar_forecast_da_mw,True,first_ranked_feature,,0.0,0.48689165617691577,da_forecast,forecast_level,solar_forecast_da_mw,da_forecast,forecast_level,solar_forecast_da_mw,True,elasticnet_coefficients
wind_onshore_forecast_da_mw_lag_1d_same_local_qh,0.7777777777777778,0.7777777777777778,14.0,14.0,0.43252596466305665,0.3930999659490382,2.0284499583158575,0.0,1.0,True,True,kept,82439,0.998582780173458,81305,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,kept,renewable_total_forecast_da_mw_lag_1d_same_local_qh,0.5983697550096645,0.085891843323793,da_forecast,forecast_level,wind_onshore_forecast_da_mw,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,elasticnet_coefficients
da_price_eur_mwh_rolling_std_7d_same_local_qh,0.7777777777777778,0.7777777777777778,14.0,14.0,0.5686166176358562,0.38427174475373316,3.309546652211594,0.0,1.0,True,True,kept,82268,0.996511458888512,54654,da_price,market_history,da_price_eur_mwh,True,kept,da_price_eur_mwh_rolling_std_14d_same_local_qh,0.8746219240013823,0.26488505553931596,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
