trial,elapsed_seconds,score,mean_val_rmse,mean_val_mae,mean_overfit_ratio_rmse,mean_overfit_excess,mean_spearman,mean_signal_spearman,mean_directional_accuracy,total_pnl,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,objective,tree_method,random_state,n_jobs
1,0.6455380090046674,54.99068391864887,41.45055317380322,24.312923780382235,1.3003294970592394,0.3266574196988767,0.8710820256850701,0.1317634583540397,0.5307870370370371,3261.169999999999,350,1,0.024159806514120682,0.704831005056282,0.8581444859621978,228.07574692120383,1.221107279956106,0.030784842454688457,16.822149815304456,reg:squarederror,hist,42,1
0,0.7952287599910051,59.4607773549044,42.517281400578405,26.02003715724912,1.4175372037157445,0.3985084510623367,0.8730785222476292,0.21534050694939982,0.5446759259259258,8604.33,500,1,0.012619910425533617,0.7306496524830273,0.6465119789982348,42.9542944048865,27.446877275106278,0.17919338191064477,14.305335664650103,reg:squarederror,hist,42,1
2,1.116189015971031,56.75707654106716,40.04004696914693,23.21967997997301,1.399607451895373,0.41750774130713764,0.8668559972905175,0.27356255391044987,0.5641203703703703,5877.749999999999,600,3,0.006530919647081821,0.6433664850797857,0.7860314755769879,23.22641148143788,151.98712546474744,38.08050659446424,4.608006868556609,reg:squarederror,hist,42,1
3,1.3931388349737972,96.29893620942707,39.649983669201625,23.744962227869706,2.8899466202039816,1.428725747098551,0.7310570714520055,0.22307868643647216,0.5687499999999999,5513.47,650,4,0.05075830130425558,0.7190192215290812,0.5607769530560541,7.978346696695557,34.98200802182702,0.8006837484502843,13.191691273406349,reg:squarederror,hist,42,1
5,0.3653379239840433,59.30855362664103,41.14434688594799,24.588910523420683,1.4570826237918628,0.4414751506700098,0.855741879007079,0.1988787392851051,0.5402777777777777,7180.259999999998,200,1,0.04141111059559693,0.7000962013903343,0.6435304555789583,34.549291134537135,5.249327793637101,27.862669092298752,6.6314370143742,reg:squarederror,hist,42,1
4,1.0284965130267665,57.944967020719574,41.5453175208761,24.26544197049268,1.4135253570181525,0.3947412242451348,0.8441624018437791,0.22229144017211797,0.5365740740740742,3813.4299999999994,600,4,0.01502342353386479,0.941648716860428,0.46425925013384506,204.54280347577264,346.69317690261914,3.256761939211291,19.71878908508414,reg:squarederror,hist,42,1
6,0.7423233650042675,58.441468200421504,39.494396902902345,23.098393711165905,1.4740144802500879,0.4797407425691513,0.8553226757865117,0.15512161490623644,0.5266203703703705,4323.669999999998,650,1,0.03342884993030689,0.8920029491137746,0.8490874813910825,55.440390161875136,19.524166284201254,17.297112512429518,14.277253759014513,reg:squarederror,hist,42,1
8,0.7991655020159669,57.89819092988519,39.76024903452017,23.098016314531918,1.454277255427093,0.456182804076944,0.8446619641677402,0.2775843252445037,0.5708333333333333,6118.08,400,3,0.00859883532012782,0.8573649502851787,0.808985606053094,6.398769635963911,104.08071515467618,0.5302244892144574,18.32706286798652,reg:squarederror,hist,42,1
7,1.3423702069558203,80.57653622708182,45.16208959157646,25.724240858117465,2.121399343331641,0.7841631544460419,0.7996952395549365,0.18688450776505253,0.5460648148148147,-264.02000000000044,700,4,0.07110117973643391,0.8648162702858493,0.5919987968426552,149.87386474130824,43.387771258236576,4.394472159306829,12.49625687865194,reg:squarederror,hist,42,1
9,0.629148282983806,56.79388635720487,40.30654779921966,22.730399788188542,1.4248313863602584,0.40904863994093804,0.8568652654393109,0.16546970298615216,0.5418981481481482,2084.9900000000007,300,3,0.025051291926744535,0.8867183567994421,0.6373947241289557,184.61994893123494,40.181937325263,35.868027922068805,5.630820607354517,reg:squarederror,hist,42,1
11,0.3269260069937445,61.688999821783376,45.86015268862948,27.890306749312966,1.3821362280651672,0.34515469760043965,0.8423137801660122,0.2528420474972161,0.5752314814814814,3330.3999999999996,100,2,0.022097671827138465,0.5180558353984971,0.3569182126086935,99.54903660081227,1.68103813553146,0.005970787289357681,1.4656374959481333,reg:squarederror,hist,42,1
10,0.9975367209990509,58.94244675240775,41.40802245017548,25.074438688364847,1.4312076492764845,0.4234547622584657,0.870591895279494,0.21312311558928357,0.5418981481481482,8543.359999999999,700,1,0.01128263697011262,0.7979209388256959,0.5110915723188769,42.48487325069344,20.302866310713178,0.09476131489909591,2.627362165240126,reg:squarederror,hist,42,1
13,0.8868940389947966,62.43671857423487,47.053820508419875,28.308911245381392,1.353087556323308,0.32692134027804093,0.8358505749639016,0.2479564743090505,0.5689814814814815,5015.86,400,2,0.006016411828154542,0.6027863128763827,0.7742246412162856,16.406245958393843,374.97261444502595,0.006361408699437249,8.42819181062405,reg:squarederror,hist,42,1
12,0.9846872040070593,60.49319922664614,42.05008289367353,24.310789046457522,1.4905891248123506,0.4385988103663736,0.861848964193462,0.22234960251351202,0.5680555555555556,5747.51,450,2,0.0057370471539467185,0.6195761638683536,0.7618779862834719,16.387969462854237,1.0688727054830807,0.01631624681932975,0.8893590896443846,reg:squarederror,hist,42,1
