feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_abs_coefficient,median_abs_coefficient,max_abs_coefficient,fold_all_missing_frequency,coefficient_sign_stability,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected,selection_method
ida1_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,1.0,1.0,18.0,18.0,5.997057401658166,6.229306960310108,8.038430174463098,0.0,1.0,True,True,kept,81500,0.9872086825912109,27759,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,first_ranked_feature,,0.0,0.6180447145601338,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,1.0,1.0,18.0,18.0,3.3940977147950693,3.438078902783462,4.16597721883546,0.0,1.0,True,True,kept,81408,0.9860942875139299,30963,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,0.8842295531640916,0.5979534106044282,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_lag_1d_same_local_qh,1.0,1.0,18.0,18.0,2.156304003358832,2.32424930892602,3.13877981767172,0.0,1.0,True,True,kept,77268,0.9359465090362905,54513,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,0.78356526299323,0.5106414910772987,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_rolling_mean_14d_same_local_qh,1.0,1.0,18.0,18.0,1.6444443952672603,1.4944604050815895,2.668457615548435,0.0,1.0,True,True,kept,81596,0.9883715296283735,80871,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.9197541533283058,0.5992663982848759,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,elasticnet_coefficients
wind_onshore_da_forecast_error_mw_lag_1d_same_local_qh,0.8333333333333334,0.8333333333333334,15.0,15.0,0.5121991416198226,0.5448931390905359,1.0987706404240616,0.0,1.0,True,True,kept,75810,0.9182857696593827,74826,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.6250368960657472,0.025822878430953572,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,elasticnet_coefficients
wind_total_forecast_revision_id_minus_da_mw_rolling_std_3d_same_local_qh,0.7222222222222222,0.7222222222222222,13.0,13.0,0.19613177195474338,0.11331470865666288,0.7130252734069704,0.0,1.0,True,True,kept,82360,0.997625853965793,82360,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,wind_total_forecast_revision_id_minus_da_mw_rolling_std_7d_same_local_qh,0.5849808806172971,0.022340213818592154,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,elasticnet_coefficients
da_price_eur_mwh,0.6666666666666666,0.6666666666666666,12.0,12.0,0.5496713265763461,0.3688781324091961,2.0537899780667552,0.0,1.0,True,True,kept,82556,1.0,12631,da_price,market_history,da_price_eur_mwh,True,kept,ida1_price_eur_mwh_lag_1d_same_local_qh,0.7477750833410122,0.07125076012790317,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
wind_total_forecast_id_mw_lag_1d_same_local_qh,0.6666666666666666,0.6666666666666666,12.0,12.0,0.28061474421265226,0.23364305960284554,0.8271714828799911,0.0,1.0,True,True,kept,82444,0.9986433451233102,81801,id_forecast,forecast_level,wind_total_forecast_id_mw,True,kept,total_generation_forecast_da_mw_lag_1d_same_local_qh,0.36481576939653093,0.01855128124807627,id_forecast,forecast_level,wind_total_forecast_id_mw,id_forecast,forecast_level,wind_total_forecast_id_mw,True,elasticnet_coefficients
ida1_minus_da_spread_eur_mwh_lag_7d_same_local_qh,0.6111111111111112,0.6111111111111112,11.0,11.0,0.36626773733699214,0.2315447694581243,0.9855418919545178,0.0,1.0,False,True,kept,74772,0.9057124860700615,53600,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,True,kept,ida1_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,0.6963071042634081,0.47181178180696487,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,ida1_history,market_history,ida1_minus_da_spread_eur_mwh,False,elasticnet_coefficients
residual_load_revision_id_minus_da_approx_mw_rolling_median_7d_same_local_qh,0.5555555555555556,0.5555555555555556,10.0,10.0,0.1353455624175457,0.10218982762383796,0.6090613907988583,0.0,1.0,False,True,kept,82264,0.9964630069286302,35238,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,True,kept,wind_total_forecast_revision_id_minus_da_mw_rolling_median_7d_same_local_qh,0.8332889424055924,0.007221147642597375,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,forecast_revision,forecast_revision,residual_load_revision_id_minus_da_approx_mw,False,elasticnet_coefficients
