fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_train_used,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,alpha,l1_ratio,best_model_convergence_warning_count,fold_all_missing_feature_count,fold_all_missing_features,elapsed_seconds
1,2025-11-22 11:00:00+00:00,2026-01-02 22:45:00+00:00,2026-01-05 11:00:00+00:00,2026-01-21 22:45:00+00:00,30,3,1.4137931034482758,10,3,1.7777777777777777,1440,1440,480,20.054578568994728,62.77952901366416,12.533966112696973,31.33900861819992,3.1304337210418427,False,3.0,1.0,0,0,,3.363301024015527
2,2025-11-22 11:00:00+00:00,2026-01-20 22:45:00+00:00,2026-01-22 11:00:00+00:00,2026-02-05 22:45:00+00:00,40,3,1.5128205128205128,10,3,1.5555555555555556,1920,1920,480,41.2810189168615,12.98848972704093,23.1966558840011,10.558323869628081,0.3146358803109799,True,10.0,0.5,0,0,,6.99234731803881
3,2025-11-22 11:00:00+00:00,2026-02-04 22:45:00+00:00,2026-02-06 11:00:00+00:00,2026-02-24 22:45:00+00:00,50,3,1.510204081632653,10,3,2.0,2400,2400,480,29.849160836086565,19.515920495194546,16.224663115874648,15.95059047965905,0.6538180621681162,True,3.0,0.7,0,0,,9.678354532981757
4,2025-11-22 11:00:00+00:00,2026-02-22 22:45:00+00:00,2026-02-25 11:00:00+00:00,2026-03-14 22:45:00+00:00,60,3,1.5593220338983051,10,5,1.8888888888888888,2880,2880,480,22.609792147516142,27.328996633957082,13.529509058328419,20.162368539935194,1.208723921726073,True,1.0,1.0,0,0,,12.637019311951008
5,2025-11-22 11:00:00+00:00,2026-03-12 22:45:00+00:00,2026-03-17 11:00:00+00:00,2026-03-31 21:45:00+00:00,70,5,1.5942028985507246,10,3,1.5555555555555556,3360,3360,480,26.94133342723623,24.000625834780738,14.959973807884728,20.265318240116127,0.8908477340070111,True,3.0,1.0,0,0,,10.77189215598628
6,2025-11-22 11:00:00+00:00,2026-03-30 21:45:00+00:00,2026-04-03 10:00:00+00:00,2026-04-20 21:45:00+00:00,80,5,1.620253164556962,10,3,1.8888888888888888,3840,3840,480,26.342361442758108,25.60945169514605,14.82911566603954,19.650202791456845,0.9721775229147671,True,3.0,1.0,0,0,,16.068917553988285
7,2025-11-22 11:00:00+00:00,2026-04-19 21:45:00+00:00,2026-04-25 10:00:00+00:00,2026-05-08 21:45:00+00:00,90,5,1.6629213483146068,10,3,1.4444444444444444,4320,4320,480,16.986802236016285,72.95381861324715,11.720137924190015,41.898013782971354,4.29473526562679,False,0.03,0.7,0,0,,17.003754484991077
8,2025-11-22 11:00:00+00:00,2026-05-07 21:45:00+00:00,2026-05-09 10:00:00+00:00,2026-05-25 21:45:00+00:00,100,5,1.6767676767676767,10,5,1.7777777777777777,4800,4800,480,37.41946122429936,14.548893924947677,17.969496814824424,10.936145193542028,0.38880554259557193,True,10.0,1.0,0,0,,18.218043170985766
9,2025-11-22 11:00:00+00:00,2026-05-24 21:45:00+00:00,2026-05-27 10:00:00+00:00,2026-06-07 21:45:00+00:00,110,5,1.6788990825688073,10,3,1.2222222222222223,5280,5280,480,36.310067901087926,20.999365532196,17.48761388164436,14.862617236930756,0.5783345156335225,True,10.0,1.0,0,0,,16.123253483965527
