feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_abs_coefficient,median_abs_coefficient,max_abs_coefficient,fold_all_missing_frequency,coefficient_sign_stability,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected,selection_method
da_price_eur_mwh,1.0,0.7777777777777778,9.0,7.0,21.450398261974275,18.606871308489623,42.627250970229156,0.0,1.0,True,True,kept,5808,1.0,3062,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.8913462748199017,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True,elasticnet_coefficients
solar_forecast_id_mw,1.0,0.7777777777777778,9.0,7.0,3.251872494314543,3.504054792806391,6.163673407123914,0.0,1.0,True,True,kept,3469,0.5972796143250688,3349,id_forecast,forecast_level,solar_forecast_id_mw,True,kept,renewable_total_forecast_id_mw,0.7308696909694778,0.759654408965035,id_forecast,forecast_level,solar_forecast_id_mw,id_forecast,forecast_level,solar_forecast_id_mw,True,elasticnet_coefficients
ida3_minus_da_spread_eur_mwh_lag_1d_same_local_qh,1.0,0.7777777777777778,9.0,7.0,2.1437640576225374,2.4926565133250014,4.092199746118139,0.0,1.0,True,True,kept,3456,0.5950413223140496,2993,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_median_3d_same_local_qh,0.6790424141289018,0.008834012301754821,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,elasticnet_coefficients
wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,0.7777777777777778,0.5555555555555556,7.0,5.0,2.443540583715476,3.1849818076645184,5.115755553535615,0.0,1.0,False,True,kept,2736,0.47107438016528924,2736,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_mean_28d_same_local_qh,0.2700520312057825,0.17004211785745388,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,elasticnet_coefficients
load_da_forecast_error_mw_rolling_std_3d_same_local_qh,0.7777777777777778,0.5555555555555556,7.0,5.0,2.0155501268907066,2.343734216140428,4.215882468777865,0.0,1.0,False,True,kept,2736,0.47107438016528924,2640,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_mean_7d_same_local_qh,0.2059842215815188,0.1257278219743517,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,elasticnet_coefficients
ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,0.7777777777777778,0.5555555555555556,7.0,5.0,2.9262381917423377,2.2110401362354697,8.838651761665364,0.0,1.0,False,True,kept,3312,0.5702479338842975,3189,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_price_eur_mwh_rolling_std_3d_same_local_qh,0.32658646525137786,0.03285499476491395,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,elasticnet_coefficients
residual_load_forecast_id_approx_mw,0.6666666666666666,0.5555555555555556,6.0,5.0,3.9149642342133566,3.681881250383959,11.318434331466777,0.0,1.0,False,True,kept,5808,1.0,5808,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,True,first_ranked_feature,,0.0,0.7741881830358736,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,False,elasticnet_coefficients
wind_offshore_da_forecast_error_mw_rolling_std_3d_same_local_qh,0.6666666666666666,0.5555555555555556,6.0,5.0,1.8171580235781686,1.2402816056499968,5.008904987538018,0.0,1.0,False,True,kept,2735,0.4709022038567493,2637,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,kept,wind_offshore_id_forecast_error_mw_rolling_std_7d_same_local_qh,0.39719268641268013,0.09415157076723436,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,False,elasticnet_coefficients
ida3_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.6666666666666666,0.5555555555555556,6.0,5.0,1.1446046480140344,1.050375178549789,4.292600047585048,0.0,1.0,False,True,kept,5328,0.9173553719008265,2660,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,0.8157637854916678,0.07198138177811297,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,False,elasticnet_coefficients
wind_total_forecast_revision_id_minus_da_mw_rolling_median_28d_same_local_qh,0.7777777777777778,0.5555555555555556,7.0,5.0,0.8153483334330479,0.908458438833609,2.182204327324332,0.0,1.0,False,True,kept,5808,1.0,2556,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_rolling_median_28d_same_local_qh,0.7410049702712469,0.19730263998643452,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_total_forecast_revision_id_minus_da_mw,False,elasticnet_coefficients
load_da_forecast_error_mw_rolling_median_3d_same_local_qh,0.6666666666666666,0.5555555555555556,6.0,5.0,2.3091270119565497,0.8498648388876366,9.371300954905454,0.0,1.0,False,True,kept,2736,0.47107438016528924,2517,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_lag_2d_same_local_qh,0.9081567749183336,0.18516401420464812,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,False,elasticnet_coefficients
ida3_minus_da_spread_eur_mwh_rolling_std_7d_same_local_qh,0.6666666666666666,0.5555555555555556,6.0,5.0,0.8889833848669978,0.5792174624963746,3.037597491406018,0.0,1.0,False,True,kept,5376,0.9256198347107438,5376,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,True,kept,ida3_minus_da_spread_eur_mwh_rolling_std_3d_same_local_qh,0.6542718460344741,0.007767671429501193,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,ida3_history,market_history,ida3_minus_da_spread_eur_mwh,False,elasticnet_coefficients
