trial,elapsed_seconds,score,mean_val_rmse,mean_val_mae,mean_overfit_ratio_rmse,mean_overfit_excess,mean_spearman,mean_signal_spearman,mean_directional_accuracy,total_pnl,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,gamma,objective,tree_method,random_state,n_jobs
1,8.653785588045139,16.64160696461884,16.64160696461884,9.093446005886076,0.7179054928633866,0.0,0.6988378645754452,0.6988378645754452,0.767845346947318,332608.465,150,2,0.04599069759778895,0.5933710625360165,0.6065108819533178,147.5322504986481,16.94330938631056,0.0012702017166498919,1.5239900209654778,reg:squarederror,hist,42,1
2,20.883544601965696,17.1129580071685,17.02534359845949,9.406566177268875,0.7691824856070547,0.005146116916955508,0.6790500599308263,0.6790500599308263,0.7564944867853174,328006.48916666664,350,2,0.06308143713964479,0.6114387772664486,0.8183500064771534,114.43161317505596,21.373016150069596,10.301430491003634,3.286389477323275,reg:squarederror,hist,42,1
3,17.308125571988057,17.685802545872875,17.685802545872875,9.734751519745055,0.7124589828600788,0.0,0.7065685723863867,0.7065685723863867,0.76509943492436,347173.125,300,1,0.007387966925549746,0.6680549548221891,0.34994502533283645,13.328682807390305,18.98828198907919,42.33897257918104,7.407632619679177,reg:squarederror,hist,42,1
0,46.89914607501123,16.99897836617654,16.809395890597724,9.292664490987342,0.805654753505499,0.011278363411314508,0.6859662143708743,0.6859662143708743,0.7594619640276109,332783.68750000006,600,4,0.016799116057134585,0.5931429203965156,0.5901940358288129,57.45043186738156,19.783788207967458,0.5076183589014177,12.008214760586345,reg:squarederror,hist,42,1
5,23.900475355039816,16.725468304344737,16.67860204213521,9.119510508592649,0.7484182633436367,0.0028099634544386984,0.6971881415493526,0.6971881415493526,0.767306318552873,333578.91000000003,500,3,0.012481720689407526,0.8457989275408648,0.715856650569747,8.323871257350607,25.604418732037637,0.7066046766191681,7.724978999286187,reg:squarederror,hist,42,1
4,29.52171380998334,17.221171079153862,16.913065037687787,9.32951166440902,0.8361923724873308,0.018217043497409626,0.6815336008885803,0.6815336008885803,0.7572705800274689,334293.0975,500,4,0.02284433361098227,0.9179494455445865,0.8581825627220458,30.856938019112686,25.076287402681242,0.01997960237534138,1.9182079442119915,reg:squarederror,hist,42,1
6,13.469557773030829,16.688920828897626,16.688920828897626,9.157169479341768,0.7096175899405615,0.0,0.6941562698586563,0.6941562698586563,0.7648754190081078,331349.0583333333,450,1,0.04365528548979441,0.8571288322900552,0.48672800258452154,14.846351904748834,1.610772199217228,1.3363785294785488,18.660095586660315,reg:squarederror,hist,42,1
8,35.22215027897619,16.56608262406895,16.555081651192094,9.035067230051256,0.7247840607985134,0.0006645073161608685,0.7008068589425811,0.7008068589425811,0.7684709699908392,336540.6708333333,300,3,0.016635233038608564,0.6153518380653872,0.7748327230738093,25.993892344928494,83.15784938335355,28.234959077997534,12.143957523921214,reg:squarederror,hist,42,1
7,55.98260297300294,17.018988747487796,16.803837683332585,9.363982490274076,0.8209626897341586,0.012803686170369175,0.6803010546499069,0.6803010546499069,0.7572561639709954,330015.9258333333,700,4,0.02658434563662618,0.6475082195677471,0.38811191636030173,17.673774376911613,116.29952167692917,0.47366151683097346,11.2428443536637,reg:squarederror,hist,42,1
10,9.630285046994686,16.628765330163404,16.59170475720346,9.046344418411909,0.7390453568344779,0.0022336808364345918,0.698233047540235,0.698233047540235,0.7666119205318267,339059.78250000003,100,4,0.03975818564161449,0.5775030182599017,0.8575552483776323,33.77446544054805,47.784878368376575,5.7135645545732645,4.00340009863108,reg:squarederror,hist,42,1
