fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_train_used,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,alpha,l1_ratio,best_model_convergence_warning_count,fold_all_missing_feature_count,fold_all_missing_features,elapsed_seconds
1,2024-09-03 22:00:00+00:00,2025-03-02 23:45:00+00:00,2025-03-04 00:00:00+00:00,2025-04-03 23:45:00+00:00,180,2,1.005586592178771,30,2,1.0344827586206897,16894,16894,2788,21.20828012048912,15.392713478507353,11.80293698989397,10.338266719366365,0.7257879182591801,True,0.3,1.0,0,0,,80.20051853096811
2,2024-09-03 22:00:00+00:00,2025-04-02 23:45:00+00:00,2025-04-04 00:00:00+00:00,2025-05-03 23:45:00+00:00,210,2,1.0095693779904307,30,1,1.0,19682,19682,2779,21.28196732136511,16.158168333481978,11.781251913281107,11.044082309822578,0.7592422302641488,True,1.0,1.0,0,0,,84.26052339898888
3,2024-09-03 22:00:00+00:00,2025-05-02 21:45:00+00:00,2025-05-04 00:00:00+00:00,2025-06-02 23:45:00+00:00,240,2,1.00836820083682,30,1,1.0,22549,22549,2880,20.074252188173002,19.42385983811228,11.487644380657416,11.663030795839223,0.9676006685597031,True,0.3,1.0,0,0,,88.98108186596073
4,2024-09-03 22:00:00+00:00,2025-06-01 23:45:00+00:00,2025-06-03 00:00:00+00:00,2025-07-02 23:45:00+00:00,270,2,1.0074349442379182,30,1,1.0,25341,25341,2880,20.008317226094526,20.389167570601025,11.473694756413064,11.46355189290897,1.0190346014711222,True,0.3,1.0,0,0,,93.33153803803725
5,2024-09-03 22:00:00+00:00,2025-07-01 23:45:00+00:00,2025-07-03 00:00:00+00:00,2025-08-01 23:45:00+00:00,300,2,1.0066889632107023,30,1,1.0,28221,28221,2880,26.700641285489265,21.413480295466893,13.724606130081717,12.208584963713616,0.8019837451284089,True,3.0,0.9,0,0,,101.33312277699588
6,2024-09-03 22:00:00+00:00,2025-07-31 23:45:00+00:00,2025-08-02 00:00:00+00:00,2025-08-31 23:45:00+00:00,330,2,1.006079027355623,30,1,1.0,31101,30000,2880,20.798064838053154,11.348834971245331,11.677523876964084,7.785881772390455,0.5456678330226642,True,1.0,1.0,0,0,,115.18014741397928
7,2024-09-03 22:00:00+00:00,2025-08-30 23:45:00+00:00,2025-09-01 00:00:00+00:00,2025-11-18 23:45:00+00:00,360,2,1.0055710306406684,30,50,2.689655172413793,33981,30000,2684,20.025850674555883,15.613614578889147,11.324935397930451,10.68775503586524,0.7796729753271973,True,1.0,1.0,0,0,,107.16673270205501
8,2024-09-03 22:00:00+00:00,2025-09-29 21:45:00+00:00,2025-11-19 00:00:00+00:00,2026-05-19 23:45:00+00:00,390,2,1.0051413881748072,30,39,6.241379310344827,36757,30000,1732,19.67995337201887,23.22041929468305,11.191833318268426,12.92425198567012,1.1799021499562112,True,1.0,1.0,0,0,,107.2943428340368
