feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
wind_offshore_forecast_da_mw,1.0,0.4444444444444444,9.0,4.0,0.051065053226461946,0.054594181134821174,0.06396114575562542,2.6666666666666665,1.0,False,True,kept,5804,0.9993112947658402,5778,da_forecast,forecast_level,wind_offshore_forecast_da_mw,True,kept,wind_onshore_forecast_id_mw,0.7340363348704705,0.14979884923826997,da_forecast,forecast_level,wind_offshore_forecast_da_mw,da_forecast,forecast_level,wind_offshore_forecast_da_mw,True
residual_load_forecast_id_approx_mw,1.0,0.4444444444444444,9.0,4.0,0.048819853413309,0.046692499506794834,0.0694209918249044,2.4444444444444446,2.0,False,True,kept,5808,1.0,5808,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,True,first_ranked_feature,,0.0,0.7741881830358736,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,id_forecast,forecast_level,residual_load_forecast_id_approx_mw,True
da_price_eur_mwh,1.0,0.4444444444444444,9.0,4.0,0.03745082847662855,0.03682830919466454,0.046767859869731136,4.222222222222222,2.0,False,True,kept,5808,1.0,3062,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.8913462748199017,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
month_sin,0.6666666666666666,0.4444444444444444,6.0,4.0,0.014821286627469787,0.01634530882053638,0.04267299148436385,44.0,3.0,False,True,kept,5808,1.0,7,calendar,calendar,month_sin,True,kept,month_cos,0.605047051175707,0.07524319054337393,calendar,calendar,month_sin,calendar,calendar,month_sin,True
wind_onshore_forecast_id_mw,0.7777777777777778,0.3333333333333333,7.0,3.0,0.02322500220076191,0.020663185714634588,0.05604076935479991,31.11111111111111,2.0,False,True,kept,5808,1.0,5808,id_forecast,forecast_level,wind_onshore_forecast_id_mw,True,kept,renewable_total_forecast_id_mw,0.46531146168222365,0.2416559078036737,id_forecast,forecast_level,wind_onshore_forecast_id_mw,id_forecast,forecast_level,wind_onshore_forecast_id_mw,True
month_cos,0.8888888888888888,0.3333333333333333,8.0,3.0,0.023205168952308262,0.02299324228282935,0.03588810167997639,10.666666666666666,4.0,False,True,kept,5808,1.0,7,calendar,calendar,month_cos,True,kept,weekday_sin,0.09645983101859047,0.114679498710109,calendar,calendar,month_cos,calendar,calendar,month_cos,True
renewable_total_forecast_id_mw,0.6666666666666666,0.3333333333333333,6.0,3.0,0.023210982597810816,0.02077169283859201,0.03551911979454404,14.777777777777779,6.0,False,True,kept,5808,1.0,5808,id_forecast,forecast_level,renewable_total_forecast_id_mw,True,kept,residual_load_forecast_id_approx_mw,0.8713509510966936,0.7665594276273461,id_forecast,forecast_level,renewable_total_forecast_id_mw,id_forecast,forecast_level,renewable_total_forecast_id_mw,False
solar_forecast_id_mw_lag_7d_same_local_qh,0.2222222222222222,0.2222222222222222,2.0,2.0,0.02969630612296312,0.0,0.14692474583536355,95.55555555555556,1.0,False,True,kept,3319,0.5714531680440771,3202,id_forecast,forecast_level,solar_forecast_id_mw,True,kept,solar_forecast_da_mw_lag_14d_same_local_qh,0.9073115588506028,0.648147586512883,id_forecast,forecast_level,solar_forecast_id_mw,id_forecast,forecast_level,solar_forecast_id_mw,False
solar_forecast_id_mw,0.4444444444444444,0.2222222222222222,4.0,2.0,0.02352190731173067,0.009577136210267225,0.06221815808995424,62.44444444444444,3.0,False,True,kept,3469,0.5972796143250688,3349,id_forecast,forecast_level,solar_forecast_id_mw,True,kept,renewable_total_forecast_id_mw,0.7308696909694778,0.759654408965035,id_forecast,forecast_level,solar_forecast_id_mw,id_forecast,forecast_level,solar_forecast_id_mw,False
da_price_eur_mwh_rolling_std_14d_same_local_qh,0.5555555555555556,0.2222222222222222,5.0,2.0,0.016810875660926893,0.024900522013472797,0.03132488305219079,82.88888888888889,5.0,False,True,kept,5808,1.0,5807,da_price,market_history,da_price_eur_mwh,True,kept,ida3_price_eur_mwh_rolling_std_14d_same_local_qh,0.8379347550251194,0.06940427548622785,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,False
