fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,elapsed_seconds
1,2025-11-22 11:00:00+00:00,2026-01-02 22:45:00+00:00,2026-01-05 11:00:00+00:00,2026-01-21 22:45:00+00:00,30,3,1.4137931034482758,10,3,1.7777777777777777,1440,480,14.821102362819019,62.92386184112819,8.776488200611539,29.748489634195963,4.245558818821887,False,1.2190885769668967
2,2025-11-22 11:00:00+00:00,2026-01-20 22:45:00+00:00,2026-01-22 11:00:00+00:00,2026-02-05 22:45:00+00:00,40,3,1.5128205128205128,10,3,1.5555555555555556,1920,480,20.226498208986403,16.09461684951914,11.351282298644383,12.714679854710896,0.7957193916230386,True,1.3584056840045378
3,2025-11-22 11:00:00+00:00,2026-02-04 22:45:00+00:00,2026-02-06 11:00:00+00:00,2026-02-24 22:45:00+00:00,50,3,1.510204081632653,10,3,2.0,2400,480,19.48704303809873,22.622718762561625,10.674135926119485,16.181027036666872,1.1609108020304773,True,1.4343000130029395
4,2025-11-22 11:00:00+00:00,2026-02-22 22:45:00+00:00,2026-02-25 11:00:00+00:00,2026-03-14 22:45:00+00:00,60,3,1.5593220338983051,10,5,1.8888888888888888,2880,480,18.780027685971298,41.26805634273092,10.568729121049245,29.301724264144898,2.1974438500726072,False,1.4239871560130268
5,2025-11-22 11:00:00+00:00,2026-03-12 22:45:00+00:00,2026-03-17 11:00:00+00:00,2026-03-31 21:45:00+00:00,70,5,1.5942028985507246,10,3,1.5555555555555556,3360,480,19.77976770836052,31.106231163848776,11.27186950760796,25.67730352719625,1.5726287397551582,False,1.6607170479837805
6,2025-11-22 11:00:00+00:00,2026-03-30 21:45:00+00:00,2026-04-03 10:00:00+00:00,2026-04-20 21:45:00+00:00,80,5,1.620253164556962,10,3,1.8888888888888888,3840,480,19.849516690251154,32.33372517592702,11.630253022531667,25.08468321609497,1.6289426931894686,False,1.1959359110333025
7,2025-11-22 11:00:00+00:00,2026-04-19 21:45:00+00:00,2026-04-25 10:00:00+00:00,2026-05-08 21:45:00+00:00,90,5,1.6629213483146068,10,3,1.4444444444444444,4320,480,20.227660744380643,115.92799910050192,12.164088677569671,49.32137024362882,5.7311619255186175,False,1.699337709986139
8,2025-11-22 11:00:00+00:00,2026-05-07 21:45:00+00:00,2026-05-09 10:00:00+00:00,2026-05-25 21:45:00+00:00,100,5,1.6767676767676767,10,5,1.7777777777777777,4800,480,31.264194738456876,17.468619649652403,15.366382553434123,13.502948433687289,0.5587420304852736,True,1.600481505971402
9,2025-11-22 11:00:00+00:00,2026-05-24 21:45:00+00:00,2026-05-27 10:00:00+00:00,2026-06-07 21:45:00+00:00,110,5,1.6788990825688073,10,3,1.2222222222222223,5280,480,30.439535259034773,32.00146391320467,15.150981766165206,19.68001067831119,1.051312500039116,True,1.311777085007634
