feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
ida2_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,1.0,1.0,8.0,8.0,0.11730071660936058,0.12797808298605506,0.15036981010843278,1.0,1.0,True,True,kept,37333,0.9464570921536316,31294,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,0.8712558731442565,0.6138743415536478,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True
ida2_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,1.0,1.0,8.0,8.0,0.08029059260033634,0.08444841449389637,0.1029742075997647,2.25,2.0,True,True,kept,36757,0.9318544809228039,11524,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,first_ranked_feature,,0.0,0.6767522178882316,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True
ida2_minus_da_spread_eur_mwh_rolling_median_7d_same_local_qh,1.0,1.0,8.0,8.0,0.06808088098487208,0.06779627640052674,0.08215480408747183,3.125,2.0,True,True,kept,37717,0.9561921663075168,11559,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_median_28d_same_local_qh,0.9119559596904542,0.6623970012026612,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True
wind_onshore_da_forecast_error_mw_lag_2d_same_local_qh,1.0,1.0,8.0,8.0,0.038193079964219875,0.03766196430165582,0.04818301297809469,6.875,4.0,True,True,kept,36172,0.9170237038914945,35889,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_id_forecast_error_mw_lag_2d_same_local_qh,0.7444629625439283,0.004474526954522681,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True
wind_onshore_id_forecast_error_mw_lag_2d_same_local_qh,1.0,1.0,8.0,8.0,0.03477675039726692,0.03846476678940565,0.04183366578685879,8.125,5.0,True,True,kept,36177,0.9171504626695398,35688,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,True,kept,wind_onshore_id_forecast_error_mw_rolling_mean_3d_same_local_qh,0.6539832183784619,0.007628757805761807,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_id_forecast_error_mw,True
load_da_forecast_error_mw_lag_2d_same_local_qh,1.0,1.0,8.0,8.0,0.0270359944670806,0.027241241486515484,0.03417254627762617,10.875,7.0,True,True,kept,36176,0.9171251109139308,36073,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True,kept,load_da_forecast_error_mw_rolling_median_3d_same_local_qh,0.8925284131725949,0.05551872646598789,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,load_da_forecast_error_mw,True
ida2_minus_da_spread_eur_mwh_lag_1d_same_local_qh,1.0,1.0,8.0,8.0,0.026897783828051025,0.0266160925160318,0.035498932295590896,11.375,5.0,True,True,kept,37418,0.9486119913804031,18133,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_minus_da_spread_eur_mwh_rolling_mean_3d_same_local_qh,0.8109001886429538,0.569441815625055,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True
residual_load_forecast_da_mw,1.0,1.0,8.0,8.0,0.022008935174248994,0.02160686113859812,0.02481342882735462,13.75,11.0,True,True,kept,39444,0.999974648244391,39361,da_forecast,forecast_level,residual_load_forecast_da_mw,True,kept,renewable_total_forecast_da_mw,0.8007915719368038,0.0017631491695826841,da_forecast,forecast_level,residual_load_forecast_da_mw,da_forecast,forecast_level,residual_load_forecast_da_mw,True
da_price_eur_mwh,0.875,0.875,7.0,7.0,0.02327531670042273,0.02297667277633407,0.028477443766708424,13.25,7.0,True,True,kept,39445,1.0,8079,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_1d_same_local_qh,0.6873782378864338,0.06024692000838093,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
wind_onshore_da_forecast_error_mw_rolling_median_3d_same_local_qh,0.75,0.75,6.0,6.0,0.02898590013602366,0.033159420501496104,0.05608994167339961,26.375,4.0,True,True,kept,37141,0.9415895550766891,24601,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True,kept,wind_onshore_da_forecast_error_mw_rolling_mean_3d_same_local_qh,0.878960750780798,0.01611645711006687,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_onshore_da_forecast_error_mw,True
da_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.625,0.625,5.0,5.0,0.023919723809647842,0.03374875008239034,0.04575339394009133,90.25,4.0,False,True,kept,39445,1.0,39218,regime_mean_shift,regime,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_regime_mean_shift_7d_vs_28d_z,0.8833546570066825,0.009665954464224566,regime_mean_shift,regime,da_price_eur_mwh,regime_mean_shift,regime,da_price_eur_mwh,True
renewable_total_forecast_id_mw_lag_14d_same_local_qh,0.5,0.5,4.0,4.0,0.018436857228302128,0.012748997524173439,0.042106677366340044,42.375,6.0,False,True,kept,37617,0.9536569907466093,37523,id_forecast,forecast_level,renewable_total_forecast_id_mw,True,kept,total_generation_forecast_da_mw_lag_14d_same_local_qh,0.8272281413181416,0.024062690646103252,id_forecast,forecast_level,renewable_total_forecast_id_mw,id_forecast,forecast_level,renewable_total_forecast_id_mw,True
wind_onshore_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.375,0.375,3.0,3.0,0.014145167086094954,0.0044685388300947275,0.05054781648307905,42.875,4.0,False,True,kept,39436,0.9997718341995183,38645,forecast_revision,forecast_revision,wind_onshore_forecast_revision_id_minus_da_mw,True,kept,renewable_total_forecast_revision_id_minus_da_mw_lag_1d_same_local_qh,0.8173787650981825,0.019168108573276412,forecast_revision,forecast_revision,wind_onshore_forecast_revision_id_minus_da_mw,forecast_revision,forecast_revision,wind_onshore_forecast_revision_id_minus_da_mw,True
weekday_sin,0.375,0.375,3.0,3.0,0.012693605218884713,0.008390267850454654,0.03375357858250229,28.25,5.0,False,True,kept,39445,1.0,7,calendar,calendar,weekday_sin,True,kept,is_weekend,0.7895824511063527,0.011220769540992288,calendar,calendar,weekday_sin,calendar,calendar,weekday_sin,True
da_price_eur_mwh_lag_1d_same_local_qh,0.375,0.375,3.0,3.0,0.012492186002235785,0.01273976603861015,0.01682059255271767,23.375,18.0,False,True,kept,39433,0.9996957789326911,8126,da_price,market_history,da_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_1d_same_local_qh,0.9023972735500224,0.04632141433543269,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
wind_total_forecast_da_mw,0.0,0.0,0.0,0.0,0.010837766984595288,0.010767481485323645,0.012973835752223785,25.875,19.0,False,True,kept,39445,1.0,39292,da_forecast,forecast_level,wind_total_forecast_da_mw,True,kept,wind_onshore_forecast_da_mw_lag_1d_same_local_qh,0.4585566786697558,0.0393703637199329,da_forecast,forecast_level,wind_total_forecast_da_mw,da_forecast,forecast_level,wind_total_forecast_da_mw,True
