fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,elapsed_seconds
1,2024-09-03 22:00:00+00:00,2025-03-02 23:45:00+00:00,2025-03-04 00:00:00+00:00,2025-04-03 23:45:00+00:00,180,2,1.005586592178771,30,2,1.0344827586206897,16894,2788,19.107867232463768,15.528994866390681,11.110202551998452,10.363736267890275,0.812701631085615,True,2.979552865959704
2,2024-09-03 22:00:00+00:00,2025-04-02 23:45:00+00:00,2025-04-04 00:00:00+00:00,2025-05-03 23:45:00+00:00,210,2,1.0095693779904307,30,1,1.0,19682,2779,18.43036556703261,16.2290856894965,10.969948459677028,11.018354484240753,0.8805623323351949,True,5.57829843100626
3,2024-09-03 22:00:00+00:00,2025-05-02 21:45:00+00:00,2025-05-04 00:00:00+00:00,2025-06-02 23:45:00+00:00,240,2,1.00836820083682,30,1,1.0,22549,2880,18.444109158893284,19.344740997929634,10.99423593801462,11.444747538290219,1.04883032470029,True,5.756227275007404
4,2024-09-03 22:00:00+00:00,2025-06-01 23:45:00+00:00,2025-06-03 00:00:00+00:00,2025-07-02 23:45:00+00:00,270,2,1.0074349442379182,30,1,1.0,25341,2880,18.686394927855574,20.28629002793307,11.070636760578406,11.39625238422206,1.085618178693877,True,3.7979452130384743
5,2024-09-03 22:00:00+00:00,2025-07-01 23:45:00+00:00,2025-07-03 00:00:00+00:00,2025-08-01 23:45:00+00:00,300,2,1.0066889632107023,30,1,1.0,28221,2880,18.535516144759413,21.444164499635722,11.075971424157329,11.429033968124187,1.1569229759862218,True,3.9965622249874286
6,2024-09-03 22:00:00+00:00,2025-07-31 23:45:00+00:00,2025-08-02 00:00:00+00:00,2025-08-31 23:45:00+00:00,330,2,1.006079027355623,30,1,1.0,31101,2880,18.770071093033856,11.09932951593849,11.09863376564433,7.641672743200454,0.5913312454132253,True,5.864993426017463
7,2024-09-03 22:00:00+00:00,2025-08-30 23:45:00+00:00,2025-09-01 00:00:00+00:00,2025-11-18 23:45:00+00:00,360,2,1.0055710306406684,30,50,2.689655172413793,33981,2684,18.208750936471418,15.31844659051576,10.804291467203562,10.55702813330355,0.8412683903448593,True,4.4727016119868495
8,2024-09-03 22:00:00+00:00,2025-09-29 21:45:00+00:00,2025-11-19 00:00:00+00:00,2026-05-19 23:45:00+00:00,390,2,1.0051413881748072,30,39,6.241379310344827,36757,1732,17.78195694752583,24.147510987981075,10.717605888674948,16.03823169775963,1.3579782618549723,True,5.08039054996334
