fold,train_start,train_end,val_start,val_end,train_observed_utc_days,train_max_gap_days,train_mean_gap_days,val_observed_utc_days,val_max_gap_days,val_mean_gap_days,n_train,n_val,train_rmse,val_rmse,train_mae,val_mae,overfit_ratio_rmse,clean_fold_for_selection,elapsed_seconds
1,2024-09-03 22:00:00+00:00,2025-03-02 23:45:00+00:00,2025-03-04 00:00:00+00:00,2025-04-03 23:45:00+00:00,180,2,1.005586592178771,30,2,1.0344827586206897,16894,2788,22.120018868998265,17.829283411261027,12.478141846344206,12.518841869516388,0.8060247831094391,True,2.877066935005132
2,2024-09-03 22:00:00+00:00,2025-04-02 23:45:00+00:00,2025-04-04 00:00:00+00:00,2025-05-03 23:45:00+00:00,210,2,1.0095693779904307,30,1,1.0,19682,2779,21.262361320399872,25.928766072106978,12.218543362698698,14.51099715525832,1.219467851260245,True,4.214929880981799
3,2024-09-03 22:00:00+00:00,2025-05-02 21:45:00+00:00,2025-05-04 00:00:00+00:00,2025-06-02 23:45:00+00:00,240,2,1.00836820083682,30,1,1.0,22549,2880,21.568201776826307,24.93514210206997,12.211902012261481,14.4275702478004,1.156106677788096,True,5.985048437956721
4,2024-09-03 22:00:00+00:00,2025-06-01 23:45:00+00:00,2025-06-03 00:00:00+00:00,2025-07-02 23:45:00+00:00,270,2,1.0074349442379182,30,1,1.0,25341,2880,21.808471181665894,24.830889305579706,12.393194846693145,14.340984440724469,1.1385891793485607,True,4.473679981951136
5,2024-09-03 22:00:00+00:00,2025-07-01 23:45:00+00:00,2025-07-03 00:00:00+00:00,2025-08-01 23:45:00+00:00,300,2,1.0066889632107023,30,1,1.0,28221,2880,21.994652216957252,20.97883715735063,12.523789394607789,11.72230601226074,0.9538153615894204,True,4.012223034980707
6,2024-09-03 22:00:00+00:00,2025-07-31 23:45:00+00:00,2025-08-02 00:00:00+00:00,2025-08-31 23:45:00+00:00,330,2,1.006079027355623,30,1,1.0,31101,2880,22.15830360125769,13.20287846534889,12.508160180628414,9.031154495324422,0.5958433778567555,True,5.027979080972727
7,2024-09-03 22:00:00+00:00,2025-08-30 23:45:00+00:00,2025-09-01 00:00:00+00:00,2025-11-18 23:45:00+00:00,360,2,1.0055710306406684,30,50,2.689655172413793,33981,2684,21.37981612220079,17.998493693985044,12.179596319978275,11.704289402435416,0.8418451118153171,True,5.3260468619992025
8,2024-09-03 22:00:00+00:00,2025-09-29 21:45:00+00:00,2025-11-19 00:00:00+00:00,2026-05-19 23:45:00+00:00,390,2,1.0051413881748072,30,39,6.241379310344827,36757,1732,20.747669219270406,30.856173478443914,12.088667279308154,16.817840571847697,1.4872115586740096,True,4.879234421008732
