feature,selection_frequency,clean_selection_frequency,selected_folds,selected_clean_folds,mean_importance,median_importance,max_importance,mean_rank,best_rank,selected_pre_cap,prefilter_keep,prefilter_reason,non_missing_count,non_missing_fraction,unique_values,family_x,pool_x,base_signal_x,corr_prune_keep,corr_prune_reason,correlated_with,max_abs_corr_with_kept,univariate_abs_spearman,family_y,pool_y,base_signal_y,family,pool,base_signal,selected
residual_load_forecast_da_mw,1.0,1.0,8.0,8.0,0.1309142203344126,0.13413100812467738,0.13531313696377106,1.375,1.0,True,True,kept,39444,0.999974648244391,39361,da_forecast,forecast_level,residual_load_forecast_da_mw,True,first_ranked_feature,,0.0,0.8456422666951876,da_forecast,forecast_level,residual_load_forecast_da_mw,da_forecast,forecast_level,residual_load_forecast_da_mw,True
da_price_eur_mwh,1.0,1.0,8.0,8.0,0.11000107081951742,0.10925032214141547,0.1176779658710012,2.625,2.0,True,True,kept,39445,1.0,8079,da_price,market_history,da_price_eur_mwh,True,first_ranked_feature,,0.0,0.9026369820498312,da_price,market_history,da_price_eur_mwh,da_price,market_history,da_price_eur_mwh,True
renewable_total_forecast_da_mw,1.0,1.0,8.0,8.0,0.10337961193413786,0.10195452766274035,0.15668372354000704,3.25,1.0,True,True,kept,39445,1.0,39333,da_forecast,forecast_level,renewable_total_forecast_da_mw,True,kept,residual_load_forecast_da_mw,0.8007915719368038,0.6605561462655384,da_forecast,forecast_level,renewable_total_forecast_da_mw,da_forecast,forecast_level,renewable_total_forecast_da_mw,True
ida2_price_eur_mwh_lag_1d_same_local_qh,1.0,1.0,8.0,8.0,0.0839188425374167,0.08612862852764647,0.09209856508355505,4.375,3.0,True,True,kept,37425,0.9487894536696666,15423,ida2_history,market_history,ida2_price_eur_mwh,True,kept,da_price_eur_mwh,0.6873782378864338,0.7206959500880953,ida2_history,market_history,ida2_price_eur_mwh,ida2_history,market_history,ida2_price_eur_mwh,True
ida2_price_eur_mwh_rolling_median_14d_same_local_qh,1.0,1.0,8.0,8.0,0.08160684534567181,0.08439236165956154,0.1098902288614504,5.125,3.0,True,True,kept,37429,0.9488908606921029,13349,ida2_history,market_history,ida2_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_1d_same_local_qh,0.7363431133828269,0.7031043600617063,ida2_history,market_history,ida2_price_eur_mwh,ida2_history,market_history,ida2_price_eur_mwh,True
ida2_price_eur_mwh_rolling_mean_3d_same_local_qh,1.0,1.0,8.0,8.0,0.07712630954654584,0.07736195630740043,0.09794375946909557,4.75,3.0,True,True,kept,37333,0.9464570921536316,33626,ida2_history,market_history,ida2_price_eur_mwh,True,kept,ida2_price_eur_mwh_lag_1d_same_local_qh,0.862728838095498,0.6963701766692436,ida2_history,market_history,ida2_price_eur_mwh,ida2_history,market_history,ida2_price_eur_mwh,True
wind_onshore_forecast_da_mw,1.0,1.0,8.0,8.0,0.042160270462806466,0.04189403002137994,0.06690496291570522,7.75,7.0,True,True,kept,39440,0.9998732412219546,39171,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True,kept,renewable_total_forecast_da_mw,0.541458207212767,0.29516225094031595,da_forecast,forecast_level,wind_onshore_forecast_da_mw,da_forecast,forecast_level,wind_onshore_forecast_da_mw,True
solar_forecast_da_mw,0.75,0.75,6.0,6.0,0.032347015363226636,0.03390061374770073,0.06477966363952598,31.75,6.0,True,True,kept,23063,0.5846875396121182,21591,da_forecast,forecast_level,solar_forecast_da_mw,True,kept,residual_load_forecast_da_mw,0.6099947921414489,0.6714833309965259,da_forecast,forecast_level,solar_forecast_da_mw,da_forecast,forecast_level,solar_forecast_da_mw,True
ida2_minus_da_spread_eur_mwh_rolling_mean_28d_same_local_qh,0.5,0.5,4.0,4.0,0.0201315973247083,0.01952897163899344,0.02251562691124402,11.0,9.0,False,True,kept,36757,0.9318544809228039,36263,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True,kept,ida2_price_eur_mwh_rolling_median_14d_same_local_qh,0.3474896626549488,0.26194446412403266,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,ida2_history,market_history,ida2_minus_da_spread_eur_mwh,True
wind_offshore_da_forecast_error_mw_lag_2d_same_local_qh,0.5,0.5,4.0,4.0,0.017133409125207045,0.017821064038396853,0.033127238875687096,46.0,9.0,False,True,kept,36172,0.9170237038914945,35638,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True,kept,wind_offshore_da_forecast_error_mw_rolling_median_3d_same_local_qh,0.6206569622671461,0.10566478506655665,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,lagged_forecast_error,lagged_forecast_error,wind_offshore_da_forecast_error_mw,True
